
INPUT STARTS HERE
A:5;1,2,3,      7,  9,      12,13,                           23,24,25,         29,30
B:5;1,  3,4,  6,7,  9,10,               16,17,18,   20,21,22,      25,26,      29,30
C:5;1,  3,4,          10,   12,   14,   16,17,18,   20,         24,25
D:5;1,  3,4,5,                 13,   15,            20,21,22,            27,28
E:5;    3,4,5,           11,12,13,14,15,   17,18,   20,21,          25
F:5;1,    4,5,  7,8,9,      12,   14,15,16,         20,            25,26,
G:5;  2,3,                        14,15,   17,18,               24,25,         29
H:5;1,  3,      7,  9,10,11,12,            17,   19,   21,   23,
I:5;1,  3,4,5,        10,   12,   14,   16,   18,   20,   22,         26,27
J:5;1,    4,5,  7,             13,14,   16,17,18,   20,21,22,   24,25
